LAT,LON,KelasSH,Bulan,Id Kabkot,Id Prov,KategoriSH,SH,KelasCH,KategoriCH,CH
-8.05,110.6,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,162.9377,100 - 150 mm,Menengah,114.8402
-8.05,110.65,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,162.1826,100 - 150 mm,Menengah,113.6632
-8.05,110.7,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,162.0681,50 - 100 mm,Rendah,98.3049
-8.05,110.75,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,162.9054,50 - 100 mm,Rendah,81.9581
-8,110.25,150% - 200%,JUN,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,154.245,50 - 100 mm,Rendah,79.9134
-8,110.3,150% - 200%,JUN,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,156.8938,50 - 100 mm,Rendah,75.9326
-8,110.35,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,159.7941,50 - 100 mm,Rendah,64.0364
-8,110.4,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,163.0805,50 - 100 mm,Rendah,59.2319
-8,110.45,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,162.5453,50 - 100 mm,Rendah,69.5276
-8,110.5,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,161.5877,50 - 100 mm,Rendah,75.6443
-8,110.55,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,160.4395,50 - 100 mm,Rendah,81.765
-8,110.6,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,159.3472,50 - 100 mm,Rendah,93.5233
-8,110.65,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,158.5743,50 - 100 mm,Rendah,96.1927
-8,110.7,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,158.4018,50 - 100 mm,Rendah,79.9807
-8,110.75,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,159.1305,50 - 100 mm,Rendah,69.4187
-7.95,110.25,150% - 200%,JUN,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,150.846,50 - 100 mm,Rendah,78.5954
-7.95,110.3,150% - 200%,JUN,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,153.4036,50 - 100 mm,Rendah,71.243
-7.95,110.35,150% - 200%,JUN,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,155.9832,50 - 100 mm,Rendah,56.3763
-7.95,110.4,150% - 200%,JUN,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,158.9876,20 - 50 mm,Rendah,46.5358
-7.95,110.45,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,158.59,50 - 100 mm,Rendah,75.7365
-7.95,110.5,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,157.7103,50 - 100 mm,Rendah,83.993
-7.95,110.55,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,156.6276,50 - 100 mm,Rendah,84.9111
-7.95,110.6,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,155.5889,50 - 100 mm,Rendah,81.7044
-7.95,110.65,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,154.8489,50 - 100 mm,Rendah,85.1133
-7.95,110.7,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,154.672,50 - 100 mm,Rendah,67.4633
-7.95,110.75,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,155.3031,50 - 100 mm,Rendah,61.9954
-7.95,110.15,115% - 150%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,145.9026,50 - 100 mm,Rendah,80.1861
-7.95,110.2,115% - 150%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,148.3666,50 - 100 mm,Rendah,76.0913
-7.9,110.3,150% - 200%,JUN,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,150.2207,50 - 100 mm,Rendah,62.6736
-7.9,110.35,150% - 200%,JUN,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,152.3212,50 - 100 mm,Rendah,51.4563
-7.9,110.4,150% - 200%,JUN,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,155.4471,50 - 100 mm,Rendah,64.8529
-7.9,110.45,150% - 200%,JUN,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,155.2513,50 - 100 mm,Rendah,85.164
-7.9,110.5,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,154.5253,50 - 100 mm,Rendah,91.4739
-7.9,110.55,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,153.5647,50 - 100 mm,Rendah,85.3207
-7.9,110.6,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,152.617,50 - 100 mm,Rendah,83.4202
-7.9,110.65,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,151.9171,50 - 100 mm,Rendah,73.1899
-7.9,110.7,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,151.6653,50 - 100 mm,Rendah,61.0263
-7.9,110.75,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,153.7222,50 - 100 mm,Rendah,59.1625
-7.9,110.05,115% - 150%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,138.272,50 - 100 mm,Rendah,93.9927
-7.9,110.1,115% - 150%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,140.915,50 - 100 mm,Rendah,87.3122
-7.9,110.15,115% - 150%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,143.4565,50 - 100 mm,Rendah,75.7943
-7.9,110.2,115% - 150%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,145.8944,50 - 100 mm,Rendah,71.8041
-7.9,110.25,115% - 150%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,148.2076,50 - 100 mm,Rendah,65.2389
-7.85,110.25,115% - 150%,JUN,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,145.1795,50 - 100 mm,Rendah,58.9001
-7.85,110.3,115% - 150%,JUN,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,146.7001,50 - 100 mm,Rendah,67.1732
-7.85,110.35,115% - 150%,JUN,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,148.9314,50 - 100 mm,Rendah,70.4172
-7.85,110.4,150% - 200%,JUN,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,152.1526,50 - 100 mm,Rendah,72.679
-7.85,110.45,150% - 200%,JUN,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,152.1518,50 - 100 mm,Rendah,82.3429
-7.85,110.5,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,151.5969,50 - 100 mm,Rendah,93.0459
-7.85,110.55,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,150.7746,50 - 100 mm,Rendah,79.9929
-7.85,110.6,115% - 150%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,149.9162,50 - 100 mm,Rendah,74.9627
-7.85,110.65,115% - 150%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,149.2072,50 - 100 mm,Rendah,70.9998
-7.85,110.7,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,150.5264,50 - 100 mm,Rendah,63.8483
-7.85,110.75,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,154.1126,50 - 100 mm,Rendah,68.0266
-7.85,110.05,115% - 150%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,136.167,50 - 100 mm,Rendah,95.7898
-7.85,110.1,115% - 150%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,138.7905,50 - 100 mm,Rendah,86.1657
-7.85,110.15,115% - 150%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,141.2748,50 - 100 mm,Rendah,74.4855
-7.85,110.2,115% - 150%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,143.4895,50 - 100 mm,Rendah,60.9814
-7.8,110.4,115% - 150%,JUN,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,148.8444,50 - 100 mm,Rendah,68.531
-7.8,110.55,115% - 150%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,147.9284,50 - 100 mm,Rendah,70.9002
-7.8,110.6,115% - 150%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,147.1279,50 - 100 mm,Rendah,68.6208
-7.8,110.65,115% - 150%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,148.0387,50 - 100 mm,Rendah,74.2689
-7.8,110.35,115% - 150%,JUN,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Atas Normal,145.5523,50 - 100 mm,Rendah,63.6689
-7.8,110.1,115% - 150%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,136.5879,50 - 100 mm,Rendah,91.2655
-7.8,110.15,115% - 150%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,138.824,50 - 100 mm,Rendah,77.3238
-7.8,110.2,115% - 150%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,140.3971,50 - 100 mm,Rendah,63.7138
-7.8,110.25,115% - 150%,JUN,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,141.5949,50 - 100 mm,Rendah,61.0424
-7.8,110.3,115% - 150%,JUN,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,143.2296,50 - 100 mm,Rendah,62.1725
-7.8,110.45,115% - 150%,JUN,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,149.0169,50 - 100 mm,Rendah,72.548
-7.8,110.5,115% - 150%,JUN,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,148.623,50 - 100 mm,Rendah,75.537
-7.75,110.15,115% - 150%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,145.277,50 - 100 mm,Rendah,86.6735
-7.75,110.2,115% - 150%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,146.2909,50 - 100 mm,Rendah,73.5935
-7.75,110.25,115% - 150%,JUN,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,147.515,50 - 100 mm,Rendah,67.2004
-7.75,110.3,115% - 150%,JUN,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,149.1789,50 - 100 mm,Rendah,71.0723
-7.75,110.35,150% - 200%,JUN,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,151.5454,50 - 100 mm,Rendah,73.8965
-7.75,110.4,150% - 200%,JUN,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,154.9084,50 - 100 mm,Rendah,77.6424
-7.75,110.45,150% - 200%,JUN,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,154.603,50 - 100 mm,Rendah,72.9608
-7.7,110.15,150% - 200%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,150.9122,50 - 100 mm,Rendah,95.9111
-7.7,110.2,150% - 200%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,151.9125,50 - 100 mm,Rendah,86.0014
-7.7,110.25,150% - 200%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,153.1199,50 - 100 mm,Rendah,73.6109
-7.7,110.3,150% - 200%,JUN,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,154.7734,50 - 100 mm,Rendah,75.0509
-7.7,110.35,150% - 200%,JUN,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,157.1464,100 - 150 mm,Menengah,105.3549
-7.7,110.4,150% - 200%,JUN,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,160.5448,50 - 100 mm,Rendah,98.7225
-7.7,110.45,150% - 200%,JUN,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,159.6862,50 - 100 mm,Rendah,87.5807
-7.65,110.15,150% - 200%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,156.0738,100 - 150 mm,Menengah,103.5726
-7.65,110.25,150% - 200%,JUN,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,158.1552,50 - 100 mm,Rendah,76.9713
-7.65,110.35,150% - 200%,JUN,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,162.0793,100 - 150 mm,Menengah,132.9511
-7.65,110.4,150% - 200%,JUN,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,165.4647,100 - 150 mm,Menengah,122.6561
-7.65,110.45,150% - 200%,JUN,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,163.9849,50 - 100 mm,Rendah,93.9512
-7.6,110.4,150% - 200%,JUN,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,169.3446,100 - 150 mm,Menengah,116.869
-7.6,110.45,150% - 200%,JUN,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,168.1731,50 - 100 mm,Rendah,98.7322
-7.55,110.45,150% - 200%,JUN,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,169.6736,100 - 150 mm,Menengah,109.4133
