LAT,LON,KelasSH,Bulan,Id Kabkot,Id Prov,KategoriSH,SH,KategoriCH,KelasCH,CH
-7.9,110.35,> 200%,JUL,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,206.0903,Rendah,20 - 50 mm,28.6953
-7.9,110.4,> 200%,JUL,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,211.4557,Rendah,20 - 50 mm,34.025
-7.9,110.45,> 200%,JUL,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,212.3009,Rendah,20 - 50 mm,42.6499
-7.9,110.5,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,212.52,Rendah,50 - 100 mm,50.3833
-7.9,110.55,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,212.573,Rendah,20 - 50 mm,48.8287
-7.9,110.6,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,212.884,Rendah,20 - 50 mm,42.8871
-7.9,110.65,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,213.8261,Rendah,20 - 50 mm,37.6599
-7.9,110.7,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,215.447,Rendah,20 - 50 mm,31.6273
-7.9,110.75,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,220.7995,Rendah,20 - 50 mm,32.7528
-7.9,110.05,150% - 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,191.5834,Rendah,50 - 100 mm,63.1438
-7.9,110.1,150% - 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,195.4969,Rendah,50 - 100 mm,54.6216
-7.9,110.15,150% - 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,198.2768,Rendah,20 - 50 mm,45.4228
-7.9,110.2,> 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,200.2701,Rendah,20 - 50 mm,42.8193
-7.9,110.25,> 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,201.8764,Rendah,20 - 50 mm,46.7643
-7.85,110.25,150% - 200%,JUL,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,197.3081,Rendah,20 - 50 mm,41.849
-7.85,110.3,150% - 200%,JUL,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,198.8934,Rendah,20 - 50 mm,43.8999
-7.85,110.35,> 200%,JUL,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,202.0856,Rendah,20 - 50 mm,40.2292
-7.85,110.4,> 200%,JUL,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,207.8848,Rendah,20 - 50 mm,40.0501
-7.85,110.45,> 200%,JUL,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,209.3061,Rendah,20 - 50 mm,45.4001
-7.85,110.5,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,210.132,Rendah,50 - 100 mm,58.8959
-7.85,110.55,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,210.6487,Rendah,20 - 50 mm,49.5068
-7.85,110.6,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,211.0442,Rendah,20 - 50 mm,43.8754
-7.85,110.65,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,211.1881,Rendah,20 - 50 mm,38.3937
-7.85,110.7,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,213.9448,Rendah,20 - 50 mm,31.8345
