LAT,LON,KelasSH,Bulan,Id Kabkot,Id Prov,KategoriSH,SH,KelasCH,KategoriCH,CH
-8,110.65,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,104.2803,300 - 400 mm,Tinggi,343.2526
-8,110.7,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,104.601,300 - 400 mm,Tinggi,343.8902
-8,110.75,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,104.2713,300 - 400 mm,Tinggi,314.8377
-7.95,110.25,85% - 115%,FEB,Bantul,Daerah Istimewa Yogyakarta,Normal,104.8924,400 - 500 mm,Tinggi,410.1895
-7.95,110.3,85% - 115%,FEB,Bantul,Daerah Istimewa Yogyakarta,Normal,104.6878,400 - 500 mm,Tinggi,408.8662
-7.95,110.35,85% - 115%,FEB,Bantul,Daerah Istimewa Yogyakarta,Normal,102.4716,300 - 400 mm,Tinggi,355.0301
-7.95,110.4,85% - 115%,FEB,Bantul,Daerah Istimewa Yogyakarta,Normal,101.3651,300 - 400 mm,Tinggi,336.5766
-7.95,110.45,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,104.6961,300 - 400 mm,Tinggi,377.604
-7.95,110.5,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,105.845,300 - 400 mm,Tinggi,362.6179
-7.95,110.55,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,105.8241,300 - 400 mm,Tinggi,379.3519
-7.95,110.6,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,105.3449,300 - 400 mm,Tinggi,369.0836
-7.95,110.65,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,104.324,300 - 400 mm,Tinggi,339.9212
-7.95,110.7,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,103.2509,200 - 300 mm,Menengah,299.9613
-7.95,110.75,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,102.8933,200 - 300 mm,Menengah,283.6686
-7.95,110.15,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,100.0841,200 - 300 mm,Menengah,277.8952
-7.95,110.2,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,102.4235,300 - 400 mm,Tinggi,328.3399
-7.9,110.3,85% - 115%,FEB,Bantul,Daerah Istimewa Yogyakarta,Normal,104.1993,300 - 400 mm,Tinggi,379.3579
-7.9,110.35,85% - 115%,FEB,Bantul,Daerah Istimewa Yogyakarta,Normal,102.0268,300 - 400 mm,Tinggi,354.3063
-7.9,110.4,85% - 115%,FEB,Bantul,Daerah Istimewa Yogyakarta,Normal,104.0303,300 - 400 mm,Tinggi,396.7062
-7.9,110.45,85% - 115%,FEB,Bantul,Daerah Istimewa Yogyakarta,Normal,106.8537,400 - 500 mm,Tinggi,420.2701
-7.9,110.5,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,107.8185,400 - 500 mm,Tinggi,400.0405
-7.9,110.55,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,108.0708,400 - 500 mm,Tinggi,427.4736
-7.9,110.6,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,106.7791,300 - 400 mm,Tinggi,373.2293
-7.9,110.65,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,104.9356,300 - 400 mm,Tinggi,318.486
-7.9,110.7,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,102.4923,200 - 300 mm,Menengah,271.886
-7.9,110.75,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,102.3408,200 - 300 mm,Menengah,269.2385
-7.9,110.05,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,98.4958,200 - 300 mm,Menengah,271.4256
-7.9,110.1,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,98.7781,200 - 300 mm,Menengah,274.7845
-7.9,110.15,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,100.0149,200 - 300 mm,Menengah,283.8659
-7.9,110.2,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,102.1613,300 - 400 mm,Tinggi,322.7921
-7.9,110.25,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,104.7319,300 - 400 mm,Tinggi,369.7956
-7.85,110.25,85% - 115%,FEB,Bantul,Daerah Istimewa Yogyakarta,Normal,103.539,300 - 400 mm,Tinggi,349.0231
-7.85,110.3,85% - 115%,FEB,Bantul,Daerah Istimewa Yogyakarta,Normal,103.8725,300 - 400 mm,Tinggi,387.0979
-7.85,110.35,85% - 115%,FEB,Bantul,Daerah Istimewa Yogyakarta,Normal,105.216,400 - 500 mm,Tinggi,403.0964
-7.85,110.4,85% - 115%,FEB,Bantul,Daerah Istimewa Yogyakarta,Normal,106.5111,400 - 500 mm,Tinggi,419.588
-7.85,110.45,85% - 115%,FEB,Bantul,Daerah Istimewa Yogyakarta,Normal,108.8,400 - 500 mm,Tinggi,414.054
-7.85,110.5,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,109.9024,400 - 500 mm,Tinggi,410.4192
-7.85,110.55,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,109.7461,300 - 400 mm,Tinggi,381.5112
-7.85,110.6,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,107.8084,300 - 400 mm,Tinggi,355.2101
-7.85,110.65,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,105.1296,300 - 400 mm,Tinggi,311.545
-7.85,110.7,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,102.9384,200 - 300 mm,Menengah,274.9388
-7.85,110.75,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,103.6603,200 - 300 mm,Menengah,291.494
-7.85,110.05,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,99.5712,300 - 400 mm,Tinggi,303.7219
-7.85,110.1,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,100.7629,300 - 400 mm,Tinggi,315.8878
-7.85,110.15,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,101.3591,300 - 400 mm,Tinggi,310.7514
-7.85,110.2,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,103.0262,300 - 400 mm,Tinggi,309.7835
-7.8,110.4,85% - 115%,FEB,Bantul,Daerah Istimewa Yogyakarta,Normal,108.5137,400 - 500 mm,Tinggi,413.1222
-7.8,110.55,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,109.381,300 - 400 mm,Tinggi,360.1296
-7.8,110.6,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,107.7037,300 - 400 mm,Tinggi,341.9913
-7.8,110.65,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,106.5599,300 - 400 mm,Tinggi,320.7866
-7.8,110.35,85% - 115%,FEB,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Normal,107.3144,400 - 500 mm,Tinggi,409.0355
-7.8,110.1,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,102.64,300 - 400 mm,Tinggi,350.6083
-7.8,110.15,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,103.191,300 - 400 mm,Tinggi,332.2754
-7.8,110.2,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,102.8598,300 - 400 mm,Tinggi,318.007
-7.8,110.25,85% - 115%,FEB,Sleman,Daerah Istimewa Yogyakarta,Normal,103.5485,300 - 400 mm,Tinggi,353.7635
-7.8,110.3,85% - 115%,FEB,Sleman,Daerah Istimewa Yogyakarta,Normal,105.6163,300 - 400 mm,Tinggi,383.0375
-7.8,110.45,85% - 115%,FEB,Sleman,Daerah Istimewa Yogyakarta,Normal,110.2026,300 - 400 mm,Tinggi,391.9952
-7.8,110.5,85% - 115%,FEB,Sleman,Daerah Istimewa Yogyakarta,Normal,110.4924,300 - 400 mm,Tinggi,365.3521
-7.75,110.15,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,106.0536,300 - 400 mm,Tinggi,354.0071
-7.75,110.2,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,105.8733,300 - 400 mm,Tinggi,332.3392
-7.75,110.25,85% - 115%,FEB,Sleman,Daerah Istimewa Yogyakarta,Normal,107.744,300 - 400 mm,Tinggi,358.4499
-7.75,110.3,85% - 115%,FEB,Sleman,Daerah Istimewa Yogyakarta,Normal,109.4883,400 - 500 mm,Tinggi,414.5392
-7.75,110.35,85% - 115%,FEB,Sleman,Daerah Istimewa Yogyakarta,Normal,109.774,400 - 500 mm,Tinggi,437.633
-7.75,110.4,85% - 115%,FEB,Sleman,Daerah Istimewa Yogyakarta,Normal,110.8979,400 - 500 mm,Tinggi,443.9969
-7.75,110.45,85% - 115%,FEB,Sleman,Daerah Istimewa Yogyakarta,Normal,110.7186,400 - 500 mm,Tinggi,408.6382
-7.7,110.15,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,108.6311,400 - 500 mm,Tinggi,400.6347
-7.7,110.2,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,109.9212,300 - 400 mm,Tinggi,390.9057
-7.7,110.25,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,110.6396,300 - 400 mm,Tinggi,391.2044
-7.7,110.3,85% - 115%,FEB,Sleman,Daerah Istimewa Yogyakarta,Normal,111.7206,400 - 500 mm,Tinggi,426.6026
-7.7,110.35,85% - 115%,FEB,Sleman,Daerah Istimewa Yogyakarta,Normal,112.6523,400 - 500 mm,Tinggi,488.3714
-7.7,110.4,85% - 115%,FEB,Sleman,Daerah Istimewa Yogyakarta,Normal,112.5148,400 - 500 mm,Tinggi,482.9351
-7.7,110.45,85% - 115%,FEB,Sleman,Daerah Istimewa Yogyakarta,Normal,112.0601,400 - 500 mm,Tinggi,450.7403
-7.65,110.15,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,111.613,400 - 500 mm,Tinggi,458.3831
-7.65,110.25,85% - 115%,FEB,Kulon Progo,Daerah Istimewa Yogyakarta,Normal,112.7649,300 - 400 mm,Tinggi,398.2308
-7.65,110.35,85% - 115%,FEB,Sleman,Daerah Istimewa Yogyakarta,Normal,114.0477,400 - 500 mm,Tinggi,488.1723
-7.65,110.4,85% - 115%,FEB,Sleman,Daerah Istimewa Yogyakarta,Normal,113.025,> 500 mm,Sangat Tinggi,512.3278
-7.65,110.45,85% - 115%,FEB,Sleman,Daerah Istimewa Yogyakarta,Normal,111.5714,400 - 500 mm,Tinggi,487.7821
-7.6,110.4,85% - 115%,FEB,Sleman,Daerah Istimewa Yogyakarta,Normal,112.9681,> 500 mm,Sangat Tinggi,516.7715
-7.6,110.45,85% - 115%,FEB,Sleman,Daerah Istimewa Yogyakarta,Normal,112.103,> 500 mm,Sangat Tinggi,502.0006
-7.55,110.45,85% - 115%,FEB,Sleman,Daerah Istimewa Yogyakarta,Normal,112.2778,400 - 500 mm,Tinggi,498.7515
