LAT,LON,KelasSH,Bulan,Id Kabkot,Id Prov,KategoriSH,SH,KategoriCH,KelasCH,CH
-7.8,110.3,> 200%,AGT,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,293.7659,Rendah,20 - 50 mm,37.7451
-7.8,110.45,> 200%,AGT,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,314.1533,Rendah,50 - 100 mm,51.1545
-7.8,110.5,> 200%,AGT,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,320.9858,Rendah,50 - 100 mm,55.3071
-7.75,110.15,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,315.4002,Rendah,20 - 50 mm,45.2365
-7.75,110.2,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,316.5316,Rendah,20 - 50 mm,36.4949
-7.75,110.25,> 200%,AGT,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,317.8442,Rendah,20 - 50 mm,35.4621
-7.75,110.3,> 200%,AGT,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,320.4863,Rendah,20 - 50 mm,34.2086
-7.75,110.35,> 200%,AGT,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,326.0849,Rendah,20 - 50 mm,44.9308
-7.75,110.4,> 200%,AGT,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,336.8373,Rendah,50 - 100 mm,56.9284
-7.75,110.45,> 200%,AGT,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,342.898,Rendah,50 - 100 mm,68.9221
-7.7,110.15,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,338.2728,Rendah,50 - 100 mm,59.6942
-7.7,110.2,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,340.4483,Rendah,50 - 100 mm,52.5497
-7.7,110.25,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,342.6054,Rendah,20 - 50 mm,44.3136
-7.7,110.3,> 200%,AGT,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,346.079,Rendah,50 - 100 mm,50.1149
