LAT,LON,KelasSH_feb,Bulan_feb,Id Prov,KategoriSH_feb,SH_feb,KelasCH_feb,KategoriCH_feb,CH_feb,KelasSH_des,Bulan_des,KategoriSH_des,SH_des,KategoriCH_des,KelasCH_des,CH_des,KelasSH_jan,Bulan_jan,KategoriSH_jan,SH_jan,CH_jan,KelasCH_jan,KategoriCH_jan,rainfall,Sifat_Hujan_Rata,temperature,humidity,predicted_usable
-8.05,110.5,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,107.7462,300 - 400 mm,Tinggi,350.3967,115% - 150%,DES,Atas Normal,130.2737,Tinggi,400 - 500 mm,444.9685,85% - 115%,JAN,Normal,106.2326,388.0473,300 - 400 mm,Tinggi,394.4708333333333,114.75083333333332,24.70940170940171,91.24786324786324,pepaya
-8.05,110.55,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,107.8124,300 - 400 mm,Tinggi,356.4515,115% - 150%,DES,Atas Normal,130.02,Tinggi,400 - 500 mm,426.1257,85% - 115%,JAN,Normal,106.8742,389.9398,300 - 400 mm,Tinggi,390.839,114.9022,24.70940170940171,91.24786324786324,pepaya
-8.05,110.6,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,108.085,300 - 400 mm,Tinggi,396.2476,115% - 150%,DES,Atas Normal,130.4678,Tinggi,400 - 500 mm,457.9924,85% - 115%,JAN,Normal,107.0422,407.9454,400 - 500 mm,Tinggi,420.7284666666667,115.19833333333332,24.70940170940171,91.24786324786324,pepaya
-8.05,110.65,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,107.6103,300 - 400 mm,Tinggi,392.393,115% - 150%,DES,Atas Normal,130.1934,Tinggi,400 - 500 mm,453.3664,85% - 115%,JAN,Normal,106.5661,401.4418,400 - 500 mm,Tinggi,415.7337333333333,114.78993333333334,24.70940170940171,91.24786324786324,pepaya
-8.05,110.7,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,107.2983,300 - 400 mm,Tinggi,373.9592,115% - 150%,DES,Atas Normal,129.3111,Tinggi,400 - 500 mm,435.4191,85% - 115%,JAN,Normal,105.8339,387.2239,300 - 400 mm,Tinggi,398.8674,114.14776666666668,24.70940170940171,91.24786324786324,pepaya
-8.05,110.75,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,106.8395,300 - 400 mm,Tinggi,347.7909,115% - 150%,DES,Atas Normal,127.9979,Tinggi,400 - 500 mm,404.0176,85% - 115%,JAN,Normal,104.5818,362.0981,300 - 400 mm,Tinggi,371.3022,113.13973333333333,24.70940170940171,91.24786324786324,pepaya
-8.0,110.35,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,103.4619,300 - 400 mm,Tinggi,336.0537,115% - 150%,DES,Atas Normal,127.7627,Tinggi,400 - 500 mm,464.7442,85% - 115%,JAN,Normal,101.2283,380.0285,300 - 400 mm,Tinggi,393.6088,110.81763333333332,24.70940170940171,91.24786324786324,pepaya
-8.0,110.4,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,103.1273,300 - 400 mm,Tinggi,332.8069,115% - 150%,DES,Atas Normal,126.3425,Tinggi,400 - 500 mm,453.6167,85% - 115%,JAN,Normal,101.461,369.7139,300 - 400 mm,Tinggi,385.37916666666666,110.31026666666668,24.70940170940171,91.24786324786324,pepaya
-8.0,110.45,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,104.5513,300 - 400 mm,Tinggi,348.03,115% - 150%,DES,Atas Normal,125.4574,Tinggi,400 - 500 mm,436.5662,85% - 115%,JAN,Normal,103.089,373.9481,300 - 400 mm,Tinggi,386.18143333333336,111.03256666666668,24.70940170940171,91.24786324786324,pepaya
-8.0,110.5,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,105.2558,300 - 400 mm,Tinggi,338.8745,115% - 150%,DES,Atas Normal,124.2757,Tinggi,300 - 400 mm,383.7216,85% - 115%,JAN,Normal,104.3325,362.3645,300 - 400 mm,Tinggi,361.6535333333333,111.288,24.70940170940171,91.24786324786324,pepaya
