LAT,LON,KelasSH_bulan1,Bulan_bulan1,Id Kabkot,Id Prov,KategoriSH_bulan1,SH_bulan1,KelasCH_bulan1,KategoriCH_bulan1,CH_bulan1,KelasSH_bulan2,Bulan_bulan2,KategoriSH_bulan2,SH_bulan2,KategoriCH_bulan2,KelasCH_bulan2,CH_bulan2,KelasSH_bulan3,Bulan_bulan3,KategoriSH_bulan3,SH_bulan3,KategoriCH_bulan3,KelasCH_bulan3,CH_bulan3,rainfall,Sifat_Hujan_Rata,temperature,humidity,prediksi_awal,rekomendasi_final
-8.0,110.35,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,159.7941,50 - 100 mm,Rendah,64.0364,> 200%,JUL,Atas Normal,218.4003,Rendah,50 - 100 mm,56.8974,> 200%,AGT,Atas Normal,302.7405,Rendah,20 - 50 mm,26.0869,49.0069,226.9783,26.306451612903224,83.3225806451613,"[{'nama': 'Semangka', 'skor': '98%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '2%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]","[{'nama': 'Semangka', 'skor': '98%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '2%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]"
-8.0,110.4,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,163.0805,50 - 100 mm,Rendah,59.2319,> 200%,JUL,Atas Normal,223.2563,Rendah,50 - 100 mm,57.5173,> 200%,AGT,Atas Normal,308.1953,Rendah,0 - 20 mm,17.7736,44.84093333333333,231.5107,26.0,84.30645161290323,"[{'nama': 'Semangka', 'skor': '99%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '1%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]","[{'nama': 'Semangka', 'skor': '99%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '1%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]"
-8.0,110.45,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,162.5453,50 - 100 mm,Rendah,69.5276,> 200%,JUL,Atas Normal,223.1068,Rendah,50 - 100 mm,56.9986,> 200%,AGT,Atas Normal,310.418,Rendah,20 - 50 mm,21.8294,49.45186666666667,232.02336666666667,25.82258064516129,84.5,"[{'nama': 'Semangka', 'skor': '99%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '1%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]","[{'nama': 'Semangka', 'skor': '99%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '1%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]"
-8.0,110.5,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,161.5877,50 - 100 mm,Rendah,75.6443,> 200%,JUL,Atas Normal,222.4388,Rendah,50 - 100 mm,52.0082,> 200%,AGT,Atas Normal,312.7023,Rendah,20 - 50 mm,27.0569,51.56980000000001,232.24293333333333,25.62903225806452,84.80645161290323,"[{'nama': 'Semangka', 'skor': '100%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '0%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]","[{'nama': 'Semangka', 'skor': '100%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '0%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]"
-8.0,110.55,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,160.4395,50 - 100 mm,Rendah,81.765,> 200%,JUL,Atas Normal,221.7143,Rendah,50 - 100 mm,53.55,> 200%,AGT,Atas Normal,315.633,Rendah,20 - 50 mm,41.1921,58.8357,232.5956,25.758064516129032,84.43548387096774,"[{'nama': 'Semangka', 'skor': '98%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '2%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]","[{'nama': 'Padi', 'skor': '100%', 'kategori': 'sangat ideal'}, {'nama': 'Semangka', 'skor': '98%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '2%', 'kategori': 'cukup ideal'}]"
-8.0,110.6,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,159.3472,50 - 100 mm,Rendah,93.5233,> 200%,JUL,Atas Normal,221.4681,Rendah,50 - 100 mm,59.1471,> 200%,AGT,Atas Normal,319.9335,Rendah,50 - 100 mm,58.2043,70.29156666666667,233.58293333333333,25.43548387096774,85.3225806451613,"[{'nama': 'Kacang Hijau', 'skor': '55%', 'kategori': 'cukup ideal'}, {'nama': 'Semangka', 'skor': '41%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '2%', 'kategori': 'cukup ideal'}]","[{'nama': 'Kacang Hijau', 'skor': '55%', 'kategori': 'cukup ideal'}, {'nama': 'Semangka', 'skor': '41%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '2%', 'kategori': 'cukup ideal'}]"
-8.0,110.65,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,158.5743,50 - 100 mm,Rendah,96.1927,> 200%,JUL,Atas Normal,222.3223,Rendah,50 - 100 mm,62.3569,> 200%,AGT,Atas Normal,326.5103,Rendah,50 - 100 mm,54.7994,71.11633333333333,235.8023,25.370967741935484,85.40322580645162,"[{'nama': 'Kacang Hijau', 'skor': '63%', 'kategori': 'cukup ideal'}, {'nama': 'Semangka', 'skor': '32%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '3%', 'kategori': 'cukup ideal'}]","[{'nama': 'Kacang Hijau', 'skor': '63%', 'kategori': 'cukup ideal'}, {'nama': 'Semangka', 'skor': '32%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '3%', 'kategori': 'cukup ideal'}]"
-8.0,110.7,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,158.4018,50 - 100 mm,Rendah,79.9807,> 200%,JUL,Atas Normal,225.0055,Rendah,50 - 100 mm,50.8235,> 200%,AGT,Atas Normal,336.5141,Rendah,50 - 100 mm,61.2083,64.00416666666668,239.9738,25.241935483870968,85.5,"[{'nama': 'Semangka', 'skor': '96%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '4%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]","[{'nama': 'Semangka', 'skor': '96%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '4%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]"
-8.0,110.75,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,159.1305,50 - 100 mm,Rendah,69.4187,> 200%,JUL,Atas Normal,230.3759,Rendah,20 - 50 mm,40.1881,> 200%,AGT,Atas Normal,351.4284,Rendah,50 - 100 mm,58.2478,55.95153333333334,246.97826666666663,25.11290322580645,86.01612903225806,"[{'nama': 'Semangka', 'skor': '100%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '0%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]","[{'nama': 'Padi', 'skor': '100%', 'kategori': 'sangat ideal'}, {'nama': 'Semangka', 'skor': '100%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '0%', 'kategori': 'cukup ideal'}]"
-7.95,110.25,150% - 200%,JUN,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,150.846,50 - 100 mm,Rendah,78.5954,> 200%,JUL,Atas Normal,206.9055,Rendah,50 - 100 mm,55.9262,> 200%,AGT,Atas Normal,297.1496,Rendah,50 - 100 mm,52.7655,62.42903333333334,218.3003666666667,26.516129032258064,83.69354838709677,"[{'nama': 'Semangka', 'skor': '73%', 'kategori': 'mendekati ideal'}, {'nama': 'Kacang Hijau', 'skor': '26%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]","[{'nama': 'Semangka', 'skor': '73%', 'kategori': 'mendekati ideal'}, {'nama': 'Kacang Hijau', 'skor': '26%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]"
